year	count	scored	avg_score	max_score
2026	52543	49766	7.09	10.0
2025	43445	42016	6.79	10.0
2024	38444	37045	6.81	10.0
2023	30610	24733	6.73	10.0
2022	26438	17461	6.79	10.0
2021	22602	10833	6.83	10.0
2020	19392	6916	6.84	10.0
2019	16095	3527	6.84	10.0
2018	16188	2291	6.92	10.0
2017	14762	1375	7.18	10.0
2016	9367	408	7.10	10.0
2015	8111	252	6.26	10.0
2014	8427	290	6.62	10.0
2013	6221	154	7.44	10.0
2012	5488	147	7.82	10.0
2011	4646	96	7.54	10.0
2010	5074	95	7.74	10.0
2009	4921	65	8.01	10.0
2008	7005	41	7.31	9.8
2007	6458	38	8.00	9.8
2006	6995	42	7.94	9.8
2005	4627	21	6.23	9.8
2004	2644	11	7.33	9.8
2003	1504	6	5.73	7.5
2002	2357	11	7.43	9.8
2001	1537	5	7.54	9.8
2000	1236	0	0.00	0.0
1999	1540	24	7.62	9.8
