cwe_id	name	cve_count	avg_score	max_score
93	Improper Neutralization of CRLF Sequences ('CRLF Injection')	142	6.51	10.0
1188	Initialization of a Resource with an Insecure Default	139	7.47	10.0
788	Access of Memory Location After End of Buffer	139	7.44	9.8
184	Incomplete List of Disallowed Inputs	138	7.15	10.0
259	Use of Hard-coded Password	138	7.03	10.0
95	Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection')	135	8.59	10.0
208	Observable Timing Discrepancy	132	5.48	9.8
305	Authentication Bypass by Primary Weakness	131	7.59	10.0
1287	Improper Validation of Specified Type of Input	130	6.74	10.0
472	External Control of Assumed-Immutable Web Parameter	129	7.29	9.8
280	Improper Handling of Insufficient Permissions or Privileges	126	6.32	9.9
1236	Improper Neutralization of Formula Elements in a CSV File	126	6.92	9.8
36	Absolute Path Traversal	125	7.13	10.0
134	Use of Externally-Controlled Format String	120	6.74	9.8
330	Use of Insufficiently Random Values	119	6.64	10.0
369	Divide By Zero	115	4.80	10.0
915	Improperly Controlled Modification of Dynamically-Determined Object Attributes	115	7.34	10.0
1021	Improper Restriction of Rendered UI Layers or Frames	112	5.56	10.0
326	Inadequate Encryption Strength	110	6.54	10.0
521	Weak Password Requirements	110	6.85	10.0
338	Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG)	110	7.29	9.8
494	Download of Code Without Integrity Check	106	7.57	9.8
922	Insecure Storage of Sensitive Information	105	6.17	10.0
131	Incorrect Calculation of Buffer Size	101	6.72	10.0
703	Improper Check or Handling of Exceptional Conditions	100	6.34	9.6
281	Improper Preservation of Permissions	100	5.75	9.4
602	Client-Side Enforcement of Server-Side Security	98	6.58	10.0
665	Improper Initialization	98	6.09	9.8
407	Inefficient Algorithmic Complexity	98	6.59	8.7
24	Path Traversal: '../filedir'	97	5.89	9.4
1392	Use of Default Credentials	96	8.02	10.0
311	Missing Encryption of Sensitive Data	93	6.16	10.0
823	Use of Out-of-range Pointer Offset	93	7.19	9.8
294	Authentication Bypass by Capture-replay	92	7.06	10.0
942	Permissive Cross-domain Security Policy with Untrusted Domains	91	6.69	10.0
680	Integer Overflow to Buffer Overflow	91	7.95	9.8
117	Improper Output Neutralization for Logs	91	5.69	9.6
425	Direct Request ('Forced Browsing')	88	6.09	9.8
1220	Insufficient Granularity of Access Control	87	6.21	9.8
328	Use of Weak Hash	83	5.80	9.8
